day,pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,hailfall,sunshine,winddirection,windspeed
60,1016.3,20.4,19.1,17.8,16.1,74,48,yes,0.0,30.0,18.3
61,1019.1,22.2,21.2,20.0,18.4,76,58,no,5.3,60.0,19.7
62,1016.0,21.6,20.4,19.0,17.6,74,54,no,6.5,65.0,21.5
63,1015.5,20.8,19.7,18.4,17.0,72,47,no,7.8,70.0,23.6
64,1017.1,21.3,20.1,18.8,17.0,73,50,no,7.0,70.0,23.0
65,1021.8,20.9,19.5,18.2,16.5,71,44,yes,0.6,50.0,21.4
66,1023.0,19.8,18.3,16.8,14.6,69,40,no,9.3,80.0,26.2
67,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
68,1015.5,22.1,21.0,19.5,17.8,72,54,no,6.2,65.0,21.8
69,1014.4,21.0,20.0,18.7,16.9,73,49,no,7.2,70.0,23.5
70,1017.8,21.6,20.2,18.9,17.1,73,51,yes,0.1,40.0,22.0
71,1021.0,21.9,20.6,19.1,17.6,74,54,no,6.4,65.0,20.9
72,1024.5,20.2,18.8,17.2,15.2,70,42,no,8.3,75.0,25.5
73,1019.3,21.5,20.3,19.0,17.5,75,55,no,5.7,60.0,20.5
74,1018.0,22.3,20.9,19.5,17.9,75,57,no,5.6,60.0,20.3
75,1015.3,21.0,20.1,18.8,17.2,74,52,no,7.1,70.0,23.1
76,1018.6,21.6,20.4,19.1,17.5,75,56,no,6.3,65.0,21.6
77,1022.1,21.2,20.1,18.7,16.8,72,47,no,7.4,70.0,23.7
78,1024.0,20.7,19.3,17.9,15.8,70,44,no,8.2,75.0,25.6
79,1019.6,20.1,18.6,17.0,14.9,68,38,no,9.5,80.0,27.1
80,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
81,1015.0,22.2,21.1,19.8,18.1,76,59,no,5.1,55.0,19.4
82,1014.1,21.4,20.4,19.0,17.4,74,52,no,6.7,70.0,22.5
83,1017.0,21.7,20.5,19.2,17.7,74,53,no,6.4,65.0,22.2
84,1020.3,20.9,19.5,18.0,15.9,70,45,no,8.1,75.0,25.4
85,1023.2,19.9,18.5,16.9,14.6,68,40,no,9.2,80.0,27.0
86,1019.1,21.5,20.2,18.8,17.1,73,51,no,6.8,70.0,22.9
87,1015.3,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
88,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
89,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
90,1021.3,20.6,19.1,17.6,15.6,71,45,no,8.5,75.0,24.9
91,1023.9,19.4,17.8,16.2,14.1,69,39,no,9.8,80.0,26.6
92,1020.6,21.6,20.2,18.9,17.2,73,50,no,6.9,70.0,22.3
93,1016.9,20.8,19.5,18.1,16.6,73,50,no,7.4,70.0,24.1
94,1014.0,21.3,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
95,1017.4,21.7,20.5,19.1,17.5,74,54,no,6.7,70.0,22.4
96,1019.9,20.9,19.4,17.9,16.0,70,43,yes,0.2,45.0,20.8
97,1023.3,19.6,18.0,16.4,14.2,68,37,no,9.7,80.0,26.5
98,1018.2,21.2,19.9,18.5,16.9,74,50,no,6.9,70.0,23.3
99,1015.1,21.7,20.7,19.5,18.1,75,57,no,5.6,60.0,21.2
100,1014.3,20.8,19.8,18.4,16.8,73,49,no,7.1,70.0,23.5
101,1018.5,21.5,20.5,19.1,17.6,74,54,no,6.0,60.0,20.8
102,1022.8,20.7,19.3,17.8,15.7,70,44,no,8.1,75.0,24.5
103,1023.7,19.8,18.2,16.6,14.3,68,38,no,9.6,80.0,26.7
104,1019.2,21.3,19.9,18.6,17.0,73,49,no,7.2,70.0,23.9
105,1015.2,22.1,20.9,19.5,17.9,75,57,no,5.5,60.0,20.4
106,1014.2,21.2,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
107,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
108,1021.1,20.7,19.3,17.9,15.9,71,47,no,8.4,75.0,23.8
109,1023.5,19.6,18.0,16.5,13.7,68,37,no,9.7,80.0,26.4
110,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
111,1015.8,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
112,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
113,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
114,1021.3,20.6,19.1,17.6,15.6,71,45,no,8.5,75.0,24.9
115,1023.9,19.4,17.8,16.2,14.1,69,39,no,9.8,80.0,26.6
116,1020.6,21.6,20.2,18.9,17.2,73,50,no,6.9,70.0,22.3
117,1016.9,20.8,19.5,18.1,16.6,73,50,no,7.4,70.0,24.1
118,1014.0,21.3,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
119,1017.4,21.7,20.5,19.1,17.5,74,54,no,6.7,70.0,22.4
120,1019.9,20.9,19.4,17.9,16.0,70,43,yes,0.2,45.0,20.8
121,1023.3,19.6,18.0,16.4,14.2,68,37,no,9.7,80.0,26.5
122,1018.2,21.2,19.9,18.5,16.9,74,50,no,6.9,70.0,23.3
123,1015.1,21.7,20.7,19.5,18.1,75,57,no,5.6,60.0,21.2
124,1014.3,20.8,19.8,18.4,16.8,73,49,no,7.1,70.0,23.5
125,1018.5,21.5,20.5,19.1,17.6,74,54,no,6.0,60.0,20.8
126,1022.8,20.7,19.3,17.8,15.7,70,44,no,8.1,75.0,24.5
127,1023.7,19.8,18.2,16.6,14.3,68,38,no,9.6,80.0,26.7
128,1019.2,21.3,19.9,18.6,17.0,73,49,no,7.2,70.0,23.9
129,1015.2,22.1,20.9,19.5,17.9,75,57,no,5.5,60.0,20.4
130,1014.2,21.2,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
131,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
132,1021.1,20.7,19.3,17.9,15.9,71,47,no,8.4,75.0,23.8
133,1023.5,19.6,18.0,16.5,13.7,68,37,no,9.7,80.0,26.4
134,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
135,1015.8,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
136,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
137,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
138,1021.3,20.6,19.1,17.6,15.6,71,45,no,8.5,75.0,24.9
139,1023.9,19.4,17.8,16.2,14.1,69,39,no,9.8,80.0,26.6
140,1020.6,21.6,20.2,18.9,17.2,73,50,no,6.9,70.0,22.3
141,1016.9,20.8,19.5,18.1,16.6,73,50,no,7.4,70.0,24.1
142,1014.0,21.3,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
143,1017.4,21.7,20.5,19.1,17.5,74,54,no,6.7,70.0,22.4
144,1019.9,20.9,19.4,17.9,16.0,70,43,yes,0.2,45.0,20.8
145,1023.3,19.6,18.0,16.4,14.2,68,37,no,9.7,80.0,26.5
146,1018.2,21.2,19.9,18.5,16.9,74,50,no,6.9,70.0,23.3
147,1015.1,21.7,20.7,19.5,18.1,75,57,no,5.6,60.0,21.2
148,1014.3,20.8,19.8,18.4,16.8,73,49,no,7.1,70.0,23.5
149,1018.5,21.5,20.5,19.1,17.6,74,54,no,6.0,60.0,20.8
150,1022.8,20.7,19.3,17.8,15.7,70,44,no,8.1,75.0,24.5
151,1023.7,19.8,18.2,16.6,14.3,68,38,no,9.6,80.0,26.7
152,1019.2,21.3,19.9,18.6,17.0,73,49,no,7.2,70.0,23.9
153,1015.2,22.1,20.9,19.5,17.9,75,57,no,5.5,60.0,20.4
154,1014.2,21.2,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
155,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
156,1021.1,20.7,19.3,17.9,15.9,71,47,no,8.4,75.0,23.8
157,1023.5,19.6,18.0,16.5,13.7,68,37,no,9.7,80.0,26.4
158,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
159,1015.8,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
160,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
161,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
162,1021.3,20.6,19.1,17.6,15.6,71,45,no,8.5,75.0,24.9
163,1023.9,19.4,17.8,16.2,14.1,69,39,no,9.8,80.0,26.6
164,1020.6,21.6,20.2,18.9,17.2,73,50,no,6.9,70.0,22.3
165,1016.9,20.8,19.5,18.1,16.6,73,50,no,7.4,70.0,24.1
166,1014.0,21.3,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
167,1017.4,21.7,20.5,19.1,17.5,74,54,no,6.7,70.0,22.4
168,1019.9,20.9,19.4,17.9,16.0,70,43,yes,0.2,45.0,20.8
169,1023.3,19.6,18.0,16.4,14.2,68,37,no,9.7,80.0,26.5
170,1018.2,21.2,19.9,18.5,16.9,74,50,no,6.9,70.0,23.3
171,1015.1,21.7,20.7,19.5,18.1,75,57,no,5.6,60.0,21.2
172,1014.3,20.8,19.8,18.4,16.8,73,49,no,7.1,70.0,23.5
173,1018.5,21.5,20.5,19.1,17.6,74,54,no,6.0,60.0,20.8
174,1022.8,20.7,19.3,17.8,15.7,70,44,no,8.1,75.0,24.5
175,1023.7,19.8,18.2,16.6,14.3,68,38,no,9.6,80.0,26.7
176,1019.2,21.3,19.9,18.6,17.0,73,49,no,7.2,70.0,23.9
177,1015.2,22.1,20.9,19.5,17.9,75,57,no,5.5,60.0,20.4
178,1014.2,21.2,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
179,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
180,1021.1,20.7,19.3,17.9,15.9,71,47,no,8.4,75.0,23.8
181,1023.5,19.6,18.0,16.5,13.7,68,37,no,9.7,80.0,26.4
182,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
183,1015.8,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
184,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
185,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
186,1021.3,20.6,19.1,17.6,15.6,71,45,no,8.5,75.0,24.9
187,1023.9,19.4,17.8,16.2,14.1,69,39,no,9.8,80.0,26.6
188,1020.6,21.6,20.2,18.9,17.2,73,50,no,6.9,70.0,22.3
189,1016.9,20.8,19.5,18.1,16.6,73,50,no,7.4,70.0,24.1
190,1014.0,21.3,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
191,1017.4,21.7,20.5,19.1,17.5,74,54,no,6.7,70.0,22.4
192,1019.9,20.9,19.4,17.9,16.0,70,43,yes,0.2,45.0,20.8
193,1023.3,19.6,18.0,16.4,14.2,68,37,no,9.7,80.0,26.5
194,1018.2,21.2,19.9,18.5,16.9,74,50,no,6.9,70.0,23.3
195,1015.1,21.7,20.7,19.5,18.1,75,57,no,5.6,60.0,21.2
196,1014.3,20.8,19.8,18.4,16.8,73,49,no,7.1,70.0,23.5
197,1018.5,21.5,20.5,19.1,17.6,74,54,no,6.0,60.0,20.8
198,1022.8,20.7,19.3,17.8,15.7,70,44,no,8.1,75.0,24.5
199,1023.7,19.8,18.2,16.6,14.3,68,38,no,9.6,80.0,26.7
200,1019.2,21.3,19.9,18.6,17.0,73,49,no,7.2,70.0,23.9
201,1015.2,22.1,20.9,19.5,17.9,75,57,no,5.5,60.0,20.4
202,1014.2,21.2,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
203,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
204,1021.1,20.7,19.3,17.9,15.9,71,47,no,8.4,75.0,23.8
205,1023.5,19.6,18.0,16.5,13.7,68,37,no,9.7,80.0,26.4
206,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
207,1015.8,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
208,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
209,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
210,1021.3,20.6,19.1,17.6,15.6,71,45,no,8.5,75.0,24.9
211,1023.9,19.4,17.8,16.2,14.1,69,39,no,9.8,80.0,26.6
212,1020.6,21.6,20.2,18.9,17.2,73,50,no,6.9,70.0,22.3
213,1016.9,20.8,19.5,18.1,16.6,73,50,no,7.4,70.0,24.1
214,1014.0,21.3,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
215,1017.4,21.7,20.5,19.1,17.5,74,54,no,6.7,70.0,22.4
216,1019.9,20.9,19.4,17.9,16.0,70,43,yes,0.2,45.0,20.8
217,1023.3,19.6,18.0,16.4,14.2,68,37,no,9.7,80.0,26.5
218,1018.2,21.2,19.9,18.5,16.9,74,50,no,6.9,70.0,23.3
219,1015.1,21.7,20.7,19.5,18.1,75,57,no,5.6,60.0,21.2
220,1014.3,20.8,19.8,18.4,16.8,73,49,no,7.1,70.0,23.5
221,1018.5,21.5,20.5,19.1,17.6,74,54,no,6.0,60.0,20.8
222,1022.8,20.7,19.3,17.8,15.7,70,44,no,8.1,75.0,24.5
223,1023.7,19.8,18.2,16.6,14.3,68,38,no,9.6,80.0,26.7
224,1019.2,21.3,19.9,18.6,17.0,73,49,no,7.2,70.0,23.9
225,1015.2,22.1,20.9,19.5,17.9,75,57,no,5.5,60.0,20.4
226,1014.2,21.2,20.1,18.8,17.0,73,49,no,7.1,70.0,23.7
227,1018.3,21.8,20.6,19.2,17.7,75,57,no,5.4,60.0,20.1
228,1021.1,20.7,19.3,17.9,15.9,71,47,no,8.4,75.0,23.8
229,1023.5,19.6,18.0,16.5,13.7,68,37,no,9.7,80.0,26.4
230,1019.0,21.4,20.2,18.8,17.0,73,49,no,7.2,70.0,23.7
231,1015.8,20.7,19.4,18.1,16.6,74,51,no,7.3,70.0,24.2
232,1014.2,21.2,20.3,19.0,17.5,76,56,yes,0.0,35.0,21.8
233,1018.4,21.7,20.5,19.1,17.6,74,54,no,6.1,65.0,21.5
